test-profile,mar, 7 ago 2018 01:27:07 CLT
Method,ASSERT,B,BRANCH,CALL,CALLED,CALLEDp,CALLEDt,CAST,CAUGHT,CDENS,CLOC,COM_RAT,CONTROL,D,E,ev(G),EXEC,EXP,IF_NEST,iv(G),JLOC,LOC,LOOP,LOOP_NEST,N,n,NBD,NCLOC,NP,NTP,NULL,OVER,QCP_CRCT,QCP_MAINT,QCP_RLBTY,RETURN,RLOC,STAT,TCOM_RAT,THROWS,TODO,V,v(G)
"org.jivesoftware.smackx.iqregister.AccountManager.supportsAccountCreation()",0,0,0,2,2,2,0,0,0,"33,33%",16,"61,54%",2,7,520,2,4,17,1,2,11,26,0,0,19,14,1,10,0,0,1,n/a,19,70,36,2,"7,54%",6,"160,00%",4,1,72,3
"org.jivesoftware.smackx.iqregister.packet.Registration.Feature.Feature()",0,0,0,0,1,1,0,0,0,"0,00%",0,"0,00%",0,0,0,1,0,0,0,1,0,2,0,0,1,1,0,2,0,0,0,n/a,2,5,4,1,"10,53%",0,"0,00%",0,0,0,1
"org.jivesoftware.smackx.iqregister.packet.Registration.Feature.getElementName()",0,0,0,0,16,16,0,0,0,"0,00%",0,"0,00%",0,1,4,1,1,1,0,1,0,4,0,0,3,3,0,4,0,0,0,n/a,4,12,7,1,"21,05%",1,"0,00%",0,0,4,1
"org.jivesoftware.smackx.iqregister.packet.Registration.Feature.getNamespace()",0,0,0,0,11,11,0,0,0,"0,00%",0,"0,00%",0,1,4,1,1,1,0,1,0,4,0,0,3,3,0,4,0,0,0,n/a,4,12,7,1,"21,05%",1,"0,00%",0,0,4,1
"org.jivesoftware.smackx.iqregister.packet.Registration.Feature.toXML()",0,0,0,0,29,24,5,0,0,"0,00%",0,"0,00%",0,1,19,1,1,6,0,1,0,4,0,0,7,7,0,4,0,0,0,n/a,4,24,11,1,"21,05%",1,"0,00%",0,0,19,1
"org.jivesoftware.smackx.iqregister.packet.Registration.Registration()",0,0,0,1,3,3,0,0,0,"0,00%",0,"0,00%",0,1,12,1,1,3,0,1,0,3,0,0,4,4,0,3,0,0,0,n/a,4,15,8,1,"2,86%",1,"0,00%",0,0,8,1
"org.jivesoftware.smackx.iqregister.packet.Registration.Registration(Map<String, String>)",0,0,0,1,4,4,0,0,0,"0,00%",0,"0,00%",0,1,17,1,1,4,0,1,0,3,0,0,5,5,0,3,1,0,0,n/a,4,18,9,1,"2,86%",1,"0,00%",0,0,11,1
"org.jivesoftware.smackx.iqregister.packet.Registration.Registration(String,Map<String, String>)",0,0,0,1,2,2,0,0,0,"0,00%",0,"0,00%",0,2,73,1,3,12,0,1,0,5,0,0,11,10,0,5,2,0,0,n/a,7,38,17,1,"4,76%",3,"0,00%",0,0,36,1
"org.jivesoftware.smackx.iqregister.packet.Registration.Registration(String,Map<String, String>,DataForm)",0,0,0,1,2,2,0,0,0,"0,00%",0,"0,00%",0,2,110,1,4,16,0,1,0,6,0,0,14,11,0,6,3,0,0,n/a,8,48,21,1,"5,71%",4,"0,00%",0,0,48,1
"org.jivesoftware.smackx.iqregister.packet.Registration.getAttributes()",0,0,0,0,2,2,0,0,0,"0,00%",5,"62,50%",0,1,4,1,1,1,0,1,5,8,0,0,3,3,0,3,0,0,0,0,4,12,7,1,"7,62%",1,"166,67%",0,0,4,1
"org.jivesoftware.smackx.iqregister.packet.Registration.getDataFormAttributes()",0,0,0,0,1,1,0,0,0,"0,00%",0,"0,00%",0,1,4,1,1,1,0,1,0,3,0,0,3,3,0,3,0,0,0,0,4,12,7,1,"2,86%",1,"0,00%",0,0,4,1
"org.jivesoftware.smackx.iqregister.packet.Registration.getIQChildElementBuilder(IQChildElementXmlStringBuilder)",0,0,0,7,1,1,0,0,0,"33,33%",2,"11,76%",3,14,2.339,1,6,37,1,5,0,17,1,1,35,23,2,15,1,0,2,0,31,124,60,1,"16,19%",9,"13,33%",0,0,158,5
"org.jivesoftware.smackx.iqregister.packet.Registration.getInstructions()",0,0,0,0,1,1,0,0,0,"0,00%",7,"70,00%",0,1,4,1,1,1,0,1,7,10,0,0,3,3,0,3,0,0,0,0,4,12,7,1,"9,52%",1,"233,33%",0,0,4,1
"org.jivesoftware.smackx.iqregister.provider.RegistrationProvider.parse(XmlPullParser,int)",0,0,1,20,1,1,0,0,0,"34,48%",24,"33,33%",10,24,11.774,5,18,98,3,8,0,72,1,1,91,41,4,48,2,0,1,0,72,326,158,1,"96,00%",29,"50,00%",1,0,487,10

Class,B,CBO,CLOC,COM_RAT,Command,Cons,CSA,CSO,CSOA,Cyclic,D,Dcy,Dcy*,DIT,Dpt,Dpt*,E,Inner,Inner,Jf,JLOC,Jm,JTA,JTM,LCOM,Level,Level*,LOC,MPC,N,n,NAAC,NAIC,NCLOC,NOAC,NOC,NOIC,NOOC,NTP,OCavg,OCmax,OPavg,OSavg,OSmax,PDcy,PDpt,Query,RFC,STAT,SUB,TCOM_RAT,TODO,V,WMC
"org.jivesoftware.smackx.iqregister.AccountManager",1,20,193,"55,94%",9,1,6,33,39,0,87,17,216,2,3,14,203.638,0,0,"20,00%",176,"83,33%",0,0,4,12,51,345,80,355,95,5,1,152,17,0,13,0,0,"2,06",4,"0,78","4,72",12,8,2,8,55,85,0,"126,97%",2,2.332,37
"org.jivesoftware.smackx.iqregister.packet.Registration",0,8,37,"43,02%",0,4,15,71,86,0,32,4,39,3,4,66,22.260,1,2,"0,00%",35,"25,00%",0,0,1,9,13,86,0,124,48,6,9,49,4,0,53,0,0,"1,38",4,"0,88","2,62",9,3,3,4,16,21,0,"75,51%",0,692,11
"org.jivesoftware.smackx.iqregister.packet.Registration.Feature",0,3,0,"0,00%",0,1,3,19,22,0,5,1,3,1,2,16,622,0,3,"0,00%",0,"0,00%",0,0,1,4,4,19,0,31,15,3,0,19,3,0,11,0,0,"1,00",1,"0,00","0,75",1,1,2,3,4,3,0,"0,00%",0,121,4
"org.jivesoftware.smackx.iqregister.provider.RegistrationProvider",0,9,24,"32,00%",0,0,1,15,16,0,26,9,191,3,0,0,13.491,0,0,"0,00%",0,"0,00%",0,0,1,10,48,75,15,94,43,1,0,51,1,0,12,0,0,"10,00",10,"2,00","29,00",29,6,0,1,14,29,0,"47,06%",0,510,10

